Session Name,1 Week Out Reminder,Day Before Reminder,Morning of Reminder,Session Date
Discover Your Next Steps,,,,10/5/2021 5:00 PM
Showcase Your Strengths,10/6/2021 5:00 PM,10/11/2021 5:00 PM,10/12/2021 10:00 AM,10/12/2021 5:00 PM
STAR Stories,10/13/2021 5:00 PM,10/18/2021 5:00 PM,10/19/2021 10:00 AM,10/19/2021 5:00 PM
Results-Oriented Resumes,10/20/2021 5:00 PM,10/25/2021 5:00 PM,10/26/2021 10:00 AM,10/26/2021 5:00 PM
Customize Your Cover Letter,10/27/2021 5:00 PM,11/1/2021 5:00 PM,11/2/2021 10:00 AM,11/2/2021 5:00 PM
Job Search Strategy,11/3/2021 5:00 PM,11/8/2021 5:00 PM,11/9/2021 10:00 AM,11/9/2021 5:00 PM
Networking *Special 2 hour Session*,11/10/2021 5:00 PM,11/15/2021 5:00 PM,11/16/2021 10:00 AM,11/16/2021 5:00 PM
"Interviewing 101: Strategies for Before, During & After",11/24/2021 5:00 PM,11/29/2021 5:00 PM,11/30/2021 10:00 AM,11/30/2021 5:00 PM
Level Up Your Interview Skills,12/1/2021 5:00 PM,12/6/2021 5:00 PM,12/7/2021 10:00 AM,12/7/2021 5:00 PM
